Qual é o índice que está em alta hoje?	O Índice Bovespa está em alta hoje.
O que o índice está tentando manter para fechar o quarto mês seguido de ganhos? 	O índice está tentando manter os 122 mil pontos.
Quais ações estão puxando o índice para cima? 	As ações da Vale, siderúrgicas e empresas de celulose estão puxando o índice para cima.
Por que o índice está sendo puxado para cima pelas ações da Vale, siderúrgicas e empresas de celulose? 	Por causa da expectativa de estímulos na China após os dados do índice dos gerentes de compras chineses mostrarem o setor de manufatura ainda em território contracionista.
Qual empresa está ajudando na alta do índice? 	A Petrobras está ajudando na alta do índice.
O que os investidores estão avaliando como melhor do que o esperado na Petrobras? 	A nova política de dividendos da empresa, que prevê distribuição de 45% do fluxo de caixa livre da empresa, menos que os atuais 60%, mas mais que os 25% a 40% esperados.
Quais são os destaques de alta do índice? 	Os destaques de alta do índice são Petrobras PN com 4,1% e o papel ON com 5%. Suzano também sobe 2,3% e Vale tem ganho de 2,8%.
Quais são os destaques de baixa do índice? 	Os destaques de baixa do índice são Weg ON com -0,7%, Equatorial ON com 0,8% e Hypera ON com 1,4%.
O que está impulsionando o Índice Bovespa no acumulado do ano? 	A expectativa de que o Comitê de Política Monetária reduza os juros em 0,5 ponto percentual e o foco indicar que a mediana do mercado espera uma queda menor, de 0,25 ponto.
Como está o dólar futuro e os juros futuros? 	O dólar futuro está em alta, de 0,3%, negociado a R$ 4,78, e os juros futuros recuam, cerca de 0,05 ponto percentual nos prazos mais curtos e 0,10 ponto para os mais longos.
Qual é o principal índice da Bolsa de Valores brasileira?	O principal índice da Bolsa de Valores brasileira é o Ibovespa.
Como está o desempenho do Ibovespa hoje?	O Ibovespa está em alta hoje, recuperando parte das perdas da semana passada e tentando manter os 122 mil pontos para fechar com chave de ouro o quarto mês seguido de ganhos.
Quais são os principais fatores que estão impulsionando a alta do Ibovespa?	Os principais fatores que estão impulsionando a alta do Ibovespa são a expectativa de estímulos na China, a nova política de dividendos da Petrobras e os resultados do Bradesco.
Qual é a expectativa para o Copom?	A expectativa para o Copom é que os juros sejam reduzidos em 0,5 ponto percentual na quarta-feira.
Qual é a expectativa para a Petrobras?	A expectativa para a Petrobras é que a empresa distribua 45% do fluxo de caixa livre para os acionistas.
Quais são as principais ações que estão em alta hoje?	As principais ações que estão em alta hoje são a Vale, siderúrgicas e empresas de celulose.
Quais são as principais ações que estão em baixa hoje?	As principais ações que estão em baixa hoje são Weg ON, Equatorial ON e Hypera ON.
Como está o desempenho do dólar hoje?	O dólar futuro está em alta, de 0,3%, negociado a R$ 4,78.
Como estão os juros futuros hoje?	Os juros futuros recuam, cerca de 0,05 ponto percentual nos prazos mais curtos e 0,10 ponto para os mais longos.
Como está o desempenho das bolsas no exterior hoje?	As bolsas têm pequenas altas na Europa, onde o Euro Stoxx ganha 0,26%, e nos Estados Unidos, com o Dow Jones ganhando 0,14%, o S&P 500, 0,18% e o Nasdaq, 0,19%.
Como está o desempenho do Dow Jones hoje?	O Dow Jones e o S&P 500 têm ganhos em torno de 3,0% e o Nasdaq, de 4,0%.
Como está o desempenho do S&P 500 hoje?	Será o quinto mês seguido de alta do S&P 500, melhor sequência desde agosto de 2021, e também a quinta alta mensal do Nasdaq.
Como estão os rendimentos dos títulos de dez anos do Tesouro americano hoje?	Os rendimentos dos títulos de dez anos do Tesouro americano estão em queda hoje, de 0,03 ponto percentual para dois anos, para 4,87%, e de 0,02 ponto para dez anos, para 3,95%.
Como está o índice do dólar, o DXY, hoje?	O índice do dólar, o DXY, está praticamente estável, em alta de 0,04%.
Qual é a pontuação atual do Índice Bovespa?	O Índice Bovespa está em 122.038 pontos.
Quais são os setores que estão impulsionando a alta do índice?	As ações da Vale, siderúrgicas e empresas de celulose estão impulsionando a alta do índice.
Por que esses setores estão impulsionando a alta?	Existe expectativa de estímulos na China após os dados do índice dos gerentes de compras chinês mostrarem o setor de manufatura ainda em território contracionista.
Quanto a Petrobras está contribuindo para a alta do índice?	As ações da Petrobras estão subindo, com os investidores avaliando como melhor do que o esperado a nova política de dividendos da empresa.
Qual é a nova política de dividendos da Petrobras?	A nova política prevê distribuição de 45% do fluxo de caixa livre da empresa.
Quais são as empresas que estão em destaque de baixa no índice?	Weg ON, Equatorial ON e Hypera ON estão em destaque de baixa no índice.
Quais são os setores em alta no índice?	Os bancos estão em alta no índice.
O que impulsiona a expectativa com os resultados do Bradesco na quinta-feira?	Os bancos estão em alta devido à expectativa com os resultados do Bradesco.
Qual é a expectativa em relação à redução dos juros pelo Comitê de Política Monetária?	A expectativa é de uma redução de 0,5 ponto percentual na quarta-feira.
O que indicava o Focus em relação à queda dos juros?	O Focus indicava que a mediana do mercado espera uma queda menor, de 0,25 ponto.
Qual é o valor atual do dólar futuro?	O dólar futuro está sendo negociado a R$ 4,78.
Como estão se comportando os juros futuros?	Os juros futuros estão recuando, cerca de 0,05 ponto percentual nos prazos mais curtos e 0,10 ponto para os mais longos.
Como estão as bolsas na Europa?	As bolsas na Europa estão com pequenas altas, com o Euro Stoxx ganhando 0,26%.
Como está o Dow Jones nos Estados Unidos?	O Dow Jones está ganhando 0,14% nos Estados Unidos.
Qual é o ganho acumulado do Índice Bovespa no ano?	O Índice Bovespa tem um ganho acumulado no ano de 11%.
Qual a data do texto?	Não há essa informação
Quem é o autor do texto?	Não há exatamente essa informação, mas pode-se inferir que seja Minuto Touro de Ouro
A Petrobras ajuda na baixa do indice?	Não, ao contrário, a Petobras ajuda na alta do indice
Quem está animado com os dados de atividade acima do esperado do PIB?	Os indices S&P500, Nasdaq e Dow Jones
O texto é sobre o Brasil?	O Brasil não é citado no texto, porém o assunto diz respeito à economia Brasileira pois o tema principal do texto é o desempenho do Índice Bovespa e de empresas brasileiras.
O texto é sobre os EUAs?	Não diretamente, mas o desempenho dos indices economicos dos EUAs e suas agendas politicas são citados no texto.
