liste as pessoas do texto	Selma Caetano, Ademario Ribeiro Payayá, Kaká Werá Jecupé, Cristina Flória, Richard Werá Mirim, Davi Kopenawa, Ailton Krenak, Daniel Munduruku e Eliane Potiguara
quantas pessoas são citadas no texto?	9
Selma Caetano compartilha o que com Ademario?	a curadoria da mostra
até quando vai a mostra?	até o dia 17 de março de 2024
até quando vai a mostra?	17 de março de 2024
quando acaba a mostra?	17/03/24
a mostra dá visibilidade a o que?	as cosmovisões de mais de 50 povos
quem é homenageado na mostra?	Davi Kopenawa
quais os destaques?	a contribuição fundamental dos escritores Ailton Krenak, Daniel Munduruku e Eliane Potiguara
quem idealizou a mostra?	Selma Caetano
quem idealizou?	Selma Caetano
onde está a mostra?	no Sesc Ipiranga
até o dia 17 de março de 2024 o que pode ser conferido no Sesc Ipiranga?	a mostra que dá visibilidade a 50 povos e presta tributo a Davi Kopenawa
Qual o sobrenome de Selma?	Caetano
Qual o sobrenome de Eliane?	Potiguara
qual o prenome de Krenak?	Ailton
qual o prenome de Werá Jecupé?	Kaká
Qual o prenome de Flórida?	Cristina
qual o sobrenome de Cristina?	Flórida
qual o sobrenome de Richard?	Werá Mirim
em que ano se encerra a mostra do texto?	2024
qual a data provável do texto?	ano de 2024
qual o autor do texto?	desconhecido
qual a data do texto?	desconhecido
de onde é o texto?	desconhecido
o texto é jornalístico?	Sim
o texto é sobre entretenimento?	 sim
o artigo é sobre saúde?	não
o artigo é negativo?	não
o texto é positivo?	 sim
o texto é sexual?	não
o artigo é ofensivo?	não
o texto é ofensivo?	não
